IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
151071837,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,12/10/2015,17:00,NORTHERN,NONE,2000 Block of BROADWAY ST,-122.430838378403,37.7948418077407,"(37.7948418077407, -122.430838378403)",15107183728150
151071821,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,12/10/2015,12:35,INGLESIDE,NONE,100 Block of PHELAN AV,-122.452428220398,37.7257172546557,"(37.7257172546557, -122.452428220398)",15107182106303
151071746,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,12/10/2015,07:30,NORTHERN,NONE,2500 Block of SACRAMENTO ST,-122.434876844289,37.7897853699569,"(37.7897853699569, -122.434876844289)",15107174605011
151071702,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,19:30,TARAVAL,NONE,300 Block of BUCKINGHAM WY,-122.478884586609,37.7258438313416,"(37.7258438313416, -122.478884586609)",15107170207021
151071649,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Thursday,12/10/2015,10:30,MISSION,NONE,0 Block of DEARBORN ST,-122.422958425571,37.7627293201302,"(37.7627293201302, -122.422958425571)",15107164909024
151071633,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,01:00,NORTHERN,NONE,TURK ST / POLK ST,-122.418996371999,37.7821689138292,"(37.7821689138292, -122.418996371999)",15107163307021
151071558,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,Thursday,12/10/2015,14:53,NORTHERN,NONE,2000 Block of CHESTNUT ST,-122.436797742278,37.8008031731089,"(37.8008031731089, -122.436797742278)",15107155806394
151071279,VEHICLE THEFT,STOLEN TRUCK,Thursday,12/10/2015,22:00,BAYVIEW,NONE,EGBERT AV / NEWHALL ST,-122.399271166098,37.7267809226846,"(37.7267809226846, -122.399271166098)",15107127907025
151071213,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,12/10/2015,21:00,NORTHERN,NONE,1800 Block of VALLEJO ST,-122.427742014075,37.7962197994734,"(37.7962197994734, -122.427742014075)",15107121305013
151071207,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,12/10/2015,22:00,BAYVIEW,NONE,0 Block of FLORA ST,-122.394396938807,37.7318711159459,"(37.7318711159459, -122.394396938807)",15107120706241
151071172,NON-CRIMINAL,LOST PROPERTY,Thursday,12/10/2015,12:00,INGLESIDE,NONE,MISSION ST / FLORENTINE AV,-122.443952452723,37.713361169314,"(37.713361169314, -122.443952452723)",15107117271000
151071144,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,12/10/2015,22:10,INGLESIDE,NONE,BRAZIL AV / LAGRANDE AV,-122.42547895155,37.7202325556594,"(37.7202325556594, -122.42547895155)",15107114428160
151071031,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,12/10/2015,14:30,NORTHERN,NONE,1600 Block of FILLMORE ST,-122.433068689791,37.7847514954484,"(37.7847514954484, -122.433068689791)",15107103106302
151071019,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,23:30,RICHMOND,NONE,300 Block of 17TH AV,-122.47630564574,37.7814192906098,"(37.7814192906098, -122.47630564574)",15107101907021
151070964,BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY",Thursday,12/10/2015,21:30,BAYVIEW,NONE,300 Block of CONNECTICUT ST,-122.397501182485,37.7618652533575,"(37.7618652533575, -122.397501182485)",15107096405021
151070845,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Thursday,12/10/2015,11:00,CENTRAL,NONE,0 Block of KEARNY ST,-122.403604267842,37.7881869940158,"(37.7881869940158, -122.403604267842)",15107084509029
151070839,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,11:30,MISSION,NONE,200 Block of HARTFORD ST,-122.43359736099,37.7585437043023,"(37.7585437043023, -122.43359736099)",15107083907021
151070801,ASSAULT,BATTERY OF A POLICE OFFICER,Thursday,12/10/2015,19:15,CENTRAL,NONE,400 Block of BROADWAY ST,-122.404282497745,37.7982249345487,"(37.7982249345487, -122.404282497745)",15107080104154
151070782,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,16:45,TARAVAL,NONE,0 Block of SERRANO DR,-122.475913774808,37.7199994990403,"(37.7199994990403, -122.475913774808)",15107078207021
151070726,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,12/10/2015,22:00,NORTHERN,NONE,200 Block of VANNESS AV,-122.419933661338,37.7777652404538,"(37.7777652404538, -122.419933661338)",15107072605073
151070657,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,12/10/2015,17:30,INGLESIDE,NONE,0 Block of BOSWORTH ST,-122.427051144538,37.7336688790295,"(37.7336688790295, -122.427051144538)",15107065705071
151070588,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,20:00,INGLESIDE,NONE,0 Block of MADISON ST,-122.423689957148,37.7284660199629,"(37.7284660199629, -122.423689957148)",15107058807021
151070500,WARRANTS,WARRANT ARREST,Thursday,12/10/2015,16:00,INGLESIDE,"ARREST, BOOKED",0 Block of GORHAM ST,-122.434486115007,37.7306120502125,"(37.7306120502125, -122.434486115007)",15107050063010
151070500,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,12/10/2015,16:00,INGLESIDE,"ARREST, BOOKED",0 Block of GORHAM ST,-122.434486115007,37.7306120502125,"(37.7306120502125, -122.434486115007)",15107050016650
151070500,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Thursday,12/10/2015,16:00,INGLESIDE,"ARREST, BOOKED",0 Block of GORHAM ST,-122.434486115007,37.7306120502125,"(37.7306120502125, -122.434486115007)",15107050011012
151070500,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,16:00,INGLESIDE,"ARREST, BOOKED",0 Block of GORHAM ST,-122.434486115007,37.7306120502125,"(37.7306120502125, -122.434486115007)",15107050007021
151070481,NON-CRIMINAL,LOST PROPERTY,Thursday,12/10/2015,10:00,CENTRAL,NONE,700 Block of TAYLOR ST,-122.412050910036,37.7892738896382,"(37.7892738896382, -122.412050910036)",15107048171000
151070390,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039068020
151070390,KIDNAPPING,"KIDNAPPING, ADULT VICTIM",Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039026141
151070390,EXTORTION,EXTORTION,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039026100
151070390,ASSAULT,THREATS AGAINST LIFE,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039019057
151070390,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039007021
151070390,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039007020
151070390,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039005083
151070390,ASSAULT,FALSE IMPRISONMENT,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039004170
151070390,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039003411
151070390,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Thursday,12/10/2015,23:30,TARAVAL,NONE,HOLLOWAY AV / ORIZABA AV,-122.462682222272,37.7216925260671,"(37.7216925260671, -122.462682222272)",15107039003011
151070378,NON-CRIMINAL,LOST PROPERTY,Thursday,12/10/2015,21:15,NORTHERN,NONE,1900 Block of VANNESS AV,-122.422790982118,37.7935231997019,"(37.7935231997019, -122.422790982118)",15107037871000
151070378,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,12/10/2015,21:15,NORTHERN,NONE,1900 Block of VANNESS AV,-122.422790982118,37.7935231997019,"(37.7935231997019, -122.422790982118)",15107037809320
151070362,BURGLARY,SAFE BURGLARY OF A STORE,Thursday,12/10/2015,20:30,CENTRAL,NONE,700 Block of VALLEJO ST,-122.409791662293,37.7985083480435,"(37.7985083480435, -122.409791662293)",15107036205251
151070356,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,17:30,INGLESIDE,NONE,500 Block of ALEMANY BL,-122.421305348396,37.7321638759455,"(37.7321638759455, -122.421305348396)",15107035607021
151070334,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Thursday,12/10/2015,17:30,BAYVIEW,NONE,2000 Block of 3RD ST,-122.388661890469,37.7636780415803,"(37.7636780415803, -122.388661890469)",15107033405151
151070328,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Thursday,12/10/2015,15:18,CENTRAL,NONE,600 Block of PINE ST,-122.406558464984,37.7914504439376,"(37.7914504439376, -122.406558464984)",15107032807055
151070293,MISSING PERSON,FOUND PERSON,Thursday,12/10/2015,08:00,MISSION,NONE,900 Block of NOE ST,-122.43220784285,37.7542213109793,"(37.7542213109793, -122.43220784285)",15107029375000
151070293,MISSING PERSON,MISSING JUVENILE,Thursday,12/10/2015,08:00,MISSION,NONE,900 Block of NOE ST,-122.43220784285,37.7542213109793,"(37.7542213109793, -122.43220784285)",15107029374010
